case_id,agent_id,status
RC00000001,customer,done
RC00000001,merchant,done
RC00000001,network,done
RC00000001,policy,done
RC00000002,customer,done
RC00000002,merchant,done
RC00000002,network,done
RC00000002,policy,done
RC00000003,customer,done
RC00000003,merchant,done
RC00000003,network,done
RC00000003,policy,done
RC00000004,customer,done
RC00000004,merchant,done
RC00000004,network,done
RC00000004,policy,done
RC00000005,customer,done
RC00000005,merchant,done
RC00000005,network,done
RC00000005,policy,done
RC00000006,customer,done
RC00000006,merchant,done
RC00000006,network,done
RC00000006,policy,done
RC00000007,customer,done
RC00000007,merchant,done
RC00000007,network,done
RC00000007,policy,done
RC00000008,customer,done
RC00000008,merchant,done
RC00000008,network,done
RC00000008,policy,done
RC00000009,customer,done
RC00000009,merchant,done
RC00000009,network,done
RC00000009,policy,done
RC00000010,customer,done
RC00000010,merchant,done
RC00000010,network,done
RC00000010,policy,done
RC00000011,customer,done
RC00000011,merchant,done
RC00000011,network,done
RC00000011,policy,done
RC00000012,customer,done
RC00000012,merchant,done
RC00000012,network,done
RC00000012,policy,done
RC00000013,customer,done
RC00000013,merchant,done
RC00000013,network,done
RC00000013,policy,done
RC00000014,customer,done
RC00000014,merchant,done
RC00000014,network,done
RC00000014,policy,done
RC00000015,customer,done
RC00000015,merchant,done
RC00000015,network,done
RC00000015,policy,done
RC00000016,customer,done
RC00000016,merchant,done
RC00000016,network,done
RC00000016,policy,done
RC00000017,customer,done
RC00000017,merchant,done
RC00000017,network,done
RC00000017,policy,done
RC00000018,customer,done
RC00000018,merchant,done
RC00000018,network,done
RC00000018,policy,done
RC00000019,customer,done
RC00000019,merchant,done
RC00000019,network,done
RC00000019,policy,done
RC00000020,customer,done
RC00000020,merchant,done
RC00000020,network,done
RC00000020,policy,done
RC00000021,customer,done
RC00000021,merchant,done
RC00000021,network,done
RC00000021,policy,done
RC00000022,customer,done
RC00000022,merchant,done
RC00000022,network,done
RC00000022,policy,done
RC00000023,customer,done
RC00000023,merchant,done
RC00000023,network,done
RC00000023,policy,done
RC00000024,customer,done
RC00000024,merchant,done
RC00000024,network,done
RC00000024,policy,done
RC00000025,customer,done
RC00000025,merchant,done
RC00000025,network,done
RC00000025,policy,done
RC00000026,customer,done
RC00000026,merchant,done
RC00000026,network,done
RC00000026,policy,done
RC00000027,customer,done
RC00000027,merchant,done
RC00000027,network,done
RC00000027,policy,done
RC00000028,customer,done
RC00000028,merchant,done
RC00000028,network,done
RC00000028,policy,done
RC00000029,customer,done
RC00000029,merchant,done
RC00000029,network,done
RC00000029,policy,done
RC00000030,customer,done
RC00000030,merchant,done
RC00000030,network,done
RC00000030,policy,done
RC00000031,customer,done
RC00000031,merchant,done
RC00000031,network,done
RC00000031,policy,done
RC00000032,customer,done
RC00000032,merchant,done
RC00000032,network,done
RC00000032,policy,done
RC00000033,customer,done
RC00000033,merchant,done
RC00000033,network,done
RC00000033,policy,done
RC00000034,customer,done
RC00000034,merchant,done
RC00000034,network,done
RC00000034,policy,done
RC00000035,customer,done
RC00000035,merchant,done
RC00000035,network,done
RC00000035,policy,done
RC00000036,customer,done
RC00000036,merchant,done
RC00000036,network,done
RC00000036,policy,done
RC00000037,customer,done
RC00000037,merchant,done
RC00000037,network,done
RC00000037,policy,done
RC00000038,customer,done
RC00000038,merchant,done
RC00000038,network,done
RC00000038,policy,done
RC00000039,customer,done
RC00000039,merchant,done
RC00000039,network,done
RC00000039,policy,done
RC00000040,customer,done
RC00000040,merchant,done
RC00000040,network,done
RC00000040,policy,done
RC00000041,customer,done
RC00000041,merchant,done
RC00000041,network,done
RC00000041,policy,done
RC00000042,customer,done
RC00000042,merchant,done
RC00000042,network,done
RC00000042,policy,done
RC00000043,customer,done
RC00000043,merchant,done
