id,subject_type,subject_id,event_type,content,confidence,created_step
ME00000001,merchant,M00000001,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,1
ME00000002,customer,C000001091,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,38
ME00000003,merchant,M00001407,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,75
ME00000004,merchant,M00004922,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,260
ME00000005,customer,C000013184,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,455
ME00000006,merchant,M00004330,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,492
ME00000007,customer,C000017766,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,613
ME00000008,merchant,M00002332,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,650
ME00000009,customer,C000019332,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,667
ME00000010,merchant,M00000334,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,64
ME00000011,merchant,M00001037,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,101
ME00000012,merchant,M00004552,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,286
ME00000013,customer,C000015514,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,481
ME00000014,merchant,M00003960,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,518
ME00000015,customer,C000017660,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,555
ME00000016,customer,C000000096,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,639
ME00000017,merchant,M00001962,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,676
ME00000018,merchant,M00000667,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,127
ME00000019,customer,C000012189,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,312
ME00000020,merchant,M00004885,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,349
ME00000021,customer,C000017844,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,507
ME00000022,merchant,M00003590,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,544
ME00000023,customer,C000019990,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,581
ME00000024,customer,C000002426,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,665
ME00000025,merchant,M00001592,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,702
ME00000026,customer,C000009154,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,153
ME00000027,customer,C000014519,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,338
ME00000028,merchant,M00004515,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,375
ME00000029,merchant,M00002517,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,533
ME00000030,customer,C000000290,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,537
ME00000031,merchant,M00003220,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,570
ME00000032,customer,C000002320,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,607
ME00000033,merchant,M00000519,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,691
ME00000034,merchant,M00001222,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,728
ME00000035,customer,C000016849,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,364
ME00000036,merchant,M00004145,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,401
ME00000037,merchant,M00002147,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,559
ME00000038,customer,C000002620,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,563
ME00000039,merchant,M00002850,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,596
ME00000040,customer,C000004650,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,633
ME00000041,merchant,M00000149,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,717
ME00000042,merchant,M00000852,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,10
ME00000043,customer,C000019179,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,390
ME00000044,merchant,M00003775,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,427
ME00000045,merchant,M00001777,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,585
ME00000046,customer,C000005907,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,622
ME00000047,merchant,M00003183,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,659
ME00000048,customer,C000010489,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,36
ME00000049,merchant,M00004700,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,258
ME00000050,merchant,M00002702,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,416
ME00000051,merchant,M00003405,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,453
ME00000052,merchant,M00001407,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,611
ME00000053,customer,C000008237,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,648
ME00000054,merchant,M00002813,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,685
ME00000055,customer,C000012819,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,62
ME00000056,merchant,M00004330,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,284
ME00000057,customer,C000003578,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,433
