id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
TX0000000001,1,PAYMENT,600.00,C000000001,250.00,0.00,M00000001,1000.00,1600.00,0,0
TX0000000002,2,PAYMENT,1059.30,C000000014,3197.00,2137.70,M00000020,68849.00,69908.30,0,0
TX0000000003,3,PAYMENT,487.80,C000000027,6144.00,5656.20,M00000039,136698.00,137185.80,0,0
TX0000000004,4,PAYMENT,3052.00,C000000040,9091.00,6039.00,M00000058,4547.00,7599.00,0,0
TX0000000005,5,PAYMENT,1574.40,C000000053,12038.00,10463.60,M00000077,72396.00,73970.40,0,0
TX0000000006,6,PAYMENT,1433.50,C000000066,14985.00,13551.50,M00000096,140245.00,141678.50,0,0
TX0000000007,7,PAYMENT,1209.80,C000000079,17932.00,16722.20,M00000115,8094.00,9303.80,0,0
TX0000000008,8,PAYMENT,4033.80,C000000092,20879.00,16845.20,M00000134,75943.00,79976.80,0,0
TX0000000009,9,TRANSFER,2904.00,C000000105,23826.00,20922.00,C000000250,22081.00,24985.00,0,0
TX0000000010,10,TRANSFER,173.40,C000000118,26773.00,26599.60,C000000279,1732.00,1905.40,0,0
TX0000000011,11,TRANSFER,1887.00,C000000131,29720.00,27833.00,C000000308,31383.00,33270.00,0,0
TX0000000012,12,CASH_OUT,950.30,C000000144,32667.00,31716.70,C000000337,11034.00,11034.00,0,0
TX0000000013,13,CASH_OUT,4188.80,C000000157,35614.00,31425.20,C000000366,40685.00,40685.00,0,0
TX0000000014,14,CASH_IN,546.00,C000000170,38561.00,39107.00,C000000395,20336.00,20882.00,0,0
TX0000000015,15,DEBIT,2519.40,C000000183,41508.00,38988.60,M00000267,150886.00,153405.40,0,0
TX0000000016,16,PAYMENT,1930.50,C000000196,44455.00,42524.50,M00000286,18735.00,20665.50,0,0
TX0000000017,17,PAYMENT,280.80,C000000209,47402.00,47121.20,M00000305,86584.00,86864.80,0,0
TX0000000018,18,PAYMENT,873.80,C000000222,349.00,0.00,M00000324,154433.00,155306.80,0,0
TX0000000019,19,PAYMENT,478.00,C000000235,3296.00,2818.00,M00000343,22282.00,22760.00,0,0
TX0000000020,20,PAYMENT,2865.90,C000000248,6243.00,3377.10,M00000362,90131.00,92996.90,0,0
TX0000000021,21,PAYMENT,1564.00,C000000261,9190.00,7626.00,M00000381,157980.00,159544.00,0,0
TX0000000022,22,PAYMENT,1156.80,C000000274,12137.00,10980.20,M00000400,25829.00,26985.80,0,0
TX0000000023,23,PAYMENT,1108.80,C000000287,15084.00,13975.20,M00000419,93678.00,94786.80,0,0
TX0000000024,24,TRANSFER,3756.50,C000000300,18031.00,14274.50,C000000685,16846.00,20602.50,0,0
TX0000000025,25,TRANSFER,2802.40,C000000313,20978.00,18175.60,C000000714,46497.00,49299.40,0,0
TX0000000026,26,CASH_OUT,157.50,C000000326,23925.00,23767.50,C000000743,26148.00,26148.00,0,0
TX0000000027,27,CASH_OUT,1694.80,C000000339,26872.00,25177.20,C000000772,5799.00,5799.00,0,0
TX0000000028,28,CASH_IN,933.80,C000000352,29819.00,30752.80,C000000801,35450.00,36383.80,0,0
TX0000000029,29,CASH_IN,3996.00,C000000365,32766.00,36762.00,C000000830,15101.00,19097.00,0,0
TX0000000030,30,PAYMENT,438.90,C000000378,35713.00,35274.10,M00000552,168621.00,169059.90,0,0
TX0000000031,31,PAYMENT,2236.00,C000000391,38660.00,36424.00,M00000571,36470.00,38706.00,0,0
TX0000000032,32,PAYMENT,1822.80,C000000404,41607.00,39784.20,M00000590,104319.00,106141.80,0,0
TX0000000033,33,PAYMENT,348.80,C000000417,44554.00,44205.20,M00000609,172168.00,172516.80,0,0
TX0000000034,34,PAYMENT,675.50,C000000430,47501.00,46825.50,M00000628,40017.00,40692.50,0,0
TX0000000035,35,PAYMENT,455.40,C000000443,448.00,0.00,M00000647,107866.00,108321.40,0,0
TX0000000036,36,PAYMENT,2667.00,C000000456,3395.00,728.00,M00000666,175715.00,178382.00,0,0
TX0000000037,37,PAYMENT,1540.80,C000000469,6342.00,4801.20,M00000685,43564.00,45104.80,0,0
TX0000000038,38,TRANSFER,867.30,C000000482,9289.00,8421.70,C000001091,31960.00,32827.30,0,0
TX0000000039,39,TRANSFER,995.00,C000000495,12236.00,11241.00,C000001120,11611.00,12606.00,0,0
TX0000000040,40,CASH_OUT,3466.40,C000000508,15183.00,11716.60,C000001149,41262.00,41262.00,0,0
TX0000000041,41,CASH_OUT,2688.00,C000000521,18130.00,15442.00,C000001178,20913.00,20913.00,0,0
TX0000000042,42,CASH_OUT,128.80,C000000534,21077.00,20948.20,C000001207,564.00,564.00,0,0
TX0000000043,43,CASH_IN,1489.80,C000000547,24024.00,25513.80,C000001236,30215.00,31704.80,0,0
TX0000000044,44,PAYMENT,904.50,C000000560,26971.00,26066.50,M00000818,118507.00,119411.50,0,0
TX0000000045,45,PAYMENT,3790.40,C000000573,29918.00,26127.60,M00000837,186356.00,190146.40,0,0
TX0000000046,46,PAYMENT,319.00,C000000586,32865.00,32546.00,M00000856,54205.00,54524.00,0,0
TX0000000047,47,PAYMENT,1939.80,C000000599,35812.00,33872.20,M00000875,122054.00,123993.80,0,0
TX0000000048,48,PAYMENT,1702.30,C000000612,38759.00,37056.70,M00000894,189903.00,191605.30,0,0
TX0000000049,49,PAYMENT,404.00,C000000625,41706.00,41302.00,M00000913,57752.00,58156.00,0,0
TX0000000050,50,PAYMENT,464.40,C000000638,44653.00,44188.60,M00000932,125601.00,126065.40,0,0
TX0000000051,51,PAYMENT,420.00,C000000651,47600.00,47180.00,M00000951,193450.00,193870.00,0,0
TX0000000052,52,TRANSFER,2455.30,C000000664,547.00,0.00,C000001497,47074.00,49529.30,0,0
TX0000000053,53,TRANSFER,1504.80,C000000677,3494.00,1989.20,C000001526,26725.00,28229.80,0,0
TX0000000054,54,TRANSFER,565.00,C000000690,6441.00,5876.00,C000001555,6376.00,6941.00,0,0
TX0000000055,55,CASH_OUT,868.40,C000000703,9388.00,8519.60,C000001584,36027.00,36027.00,0,0
TX0000000056,56,CASH_OUT,111.00,C000000716,12335.00,12224.00,C000001613,15678.00,15678.00,0,0
TX0000000057,57,CASH_IN,2560.80,C000000729,15282.00,17842.80,C000001642,45329.00,47889.80,0,0
TX0000000058,58,DEBIT,897.30,C000000742,18229.00,17331.70,M00001084,68393.00,69290.30,0,0
TX0000000059,59,PAYMENT,1272.00,C000000755,21176.00,19904.00,M00001103,136242.00,137514.00,0,0
TX0000000060,60,PAYMENT,862.40,C000000768,24123.00,23260.60,M00001122,4091.00,4953.40,0,0
TX0000000061,61,PAYMENT,3572.00,C000000781,27070.00,23498.00,M00001141,71940.00,75512.00,0,0
TX0000000062,62,PAYMENT,2256.30,C000000794,30017.00,27760.70,M00001160,139789.00,142045.30,0,0
TX0000000063,63,PAYMENT,1630.80,C000000807,32964.00,31333.20,M00001179,7638.00,9268.80,0,0
TX0000000064,64,PAYMENT,1569.00,C000000820,35911.00,34342.00,M00001198,75487.00,77056.00,0,0
TX0000000065,65,PAYMENT,446.40,C000000833,38858.00,38411.60,M00001217,143336.00,143782.40,0,0
TX0000000066,66,PAYMENT,3570.50,C000000846,41805.00,38234.50,M00001236,11185.00,14755.50,0,0
TX0000000067,67,TRANSFER,371.80,C000000859,44752.00,44380.20,C000001932,41839.00,42210.80,0,0
TX0000000068,68,TRANSFER,2230.80,C000000872,47699.00,45468.20,C000001961,21490.00,23720.80,0,0
TX0000000069,69,CASH_OUT,1456.00,C000000885,646.00,0.00,C000001990,1141.00,1141.00,0,0
TX0000000070,70,CASH_OUT,4839.90,C000000898,3593.00,0.00,C000002019,30792.00,30792.00,0,0
TX0000000071,71,CASH_IN,729.00,C000000911,6540.00,7269.00,C000002048,10443.00,11172.00,0,0
TX0000000072,72,DEBIT,147.30,C000000924,9487.00,9339.70,M00001350,18279.00,18426.30,0,0
TX0000000073,73,PAYMENT,2420.80,C000000937,12434.00,10013.20,M00001369,86128.00,88548.80,0,0
TX0000000074,74,PAYMENT,933.00,C000000950,15381.00,14448.00,M00001388,153977.00,154910.00,0,0
TX0000000075,75,PAYMENT,1041.40,C000000963,18328.00,17286.60,M00001407,21826.00,22867.40,0,0
TX0000000076,76,PAYMENT,807.50,C000000976,21275.00,20467.50,M00001426,89675.00,90482.50,0,0
TX0000000077,77,PAYMENT,3340.80,C000000989,24222.00,20881.20,M00001445,157524.00,160864.80,0,0
TX0000000078,78,PAYMENT,2200.80,C000001002,27169.00,24968.20,M00001464,25373.00,27573.80,0,0
TX0000000079,79,PAYMENT,1309.00,C000001015,30116.00,28807.00,M00001483,93222.00,94531.00,0,0
TX0000000080,80,PAYMENT,1422.90,C000001028,33063.00,31640.10,M00001502,161071.00,162493.90,0,0
TX0000000081,81,TRANSFER,476.00,C000001041,36010.00,35534.00,C000002338,6953.00,7429.00,0,0
TX0000000082,82,TRANSFER,3423.80,C000001054,38957.00,35533.20,C000002367,36604.00,40027.80,0,0
TX0000000083,83,CASH_OUT,310.80,C000001067,41904.00,41593.20,C000002396,16255.00,16255.00,0,0
TX0000000084,84,CASH_OUT,1993.50,C000001080,44851.00,42857.50,C000002425,45906.00,45906.00,0,0
TX0000000085,85,CASH_OUT,1394.40,C000001093,47798.00,46403.60,C000002454,25557.00,25557.00,0,0
TX0000000086,86,CASH_IN,4602.00,C000001106,745.00,5347.00,C000002483,5208.00,9810.00,0,0
TX0000000087,87,PAYMENT,576.80,C000001119,3692.00,3115.20,M00001635,36014.00,36590.80,0,0
TX0000000088,88,PAYMENT,170.80,C000001132,6639.00,6468.20,M00001654,103863.00,104033.80,0,0
TX0000000089,89,PAYMENT,2268.00,C000001145,9586.00,7318.00,M00001673,171712.00,173980.00,0,0
TX0000000090,90,PAYMENT,955.90,C000001158,12533.00,11577.10,M00001692,39561.00,40516.90,0,0
TX0000000091,91,PAYMENT,798.00,C000001171,15480.00,14682.00,M00001711,107410.00,108208.00,0,0
TX0000000092,92,PAYMENT,739.80,C000001184,18427.00,17687.20,M00001730,175259.00,175998.80,0,0
TX0000000093,93,PAYMENT,3096.80,C000001197,21374.00,18277.20,M00001749,43108.00,46204.80,0,0
TX0000000094,94,PAYMENT,2132.50,C000001210,24321.00,22188.50,M00001768,110957.00,113089.50,0,0
TX0000000095,95,TRANSFER,974.40,C000001223,27268.00,26293.60,C000002744,22067.00,23041.40,0,0
TX0000000096,96,TRANSFER,1264.00,C000001236,31704.80,30440.80,C000002773,1718.00,2982.00,0,0
TX0000000097,97,TRANSFER,492.80,C000001249,33162.00,32669.20,C000002802,31369.00,31861.80,0,0
TX0000000098,98,CASH_OUT,3264.30,C000001262,36109.00,32844.70,C000002831,11020.00,11020.00,0,0
TX0000000099,99,CASH_OUT,237.00,C000001275,39056.00,38819.00,C000002860,40671.00,40671.00,0,0
TX0000000100,100,CASH_IN,1743.40,C000001288,42003.00,43746.40,C000002889,20322.00,22065.40,0,0
TX0000000101,101,PAYMENT,1320.00,C000001301,44950.00,43630.00,M00001901,185900.00,187220.00,0,0
TX0000000102,102,PAYMENT,4351.30,C000001314,47897.00,43545.70,M00001920,53749.00,58100.30,0,0
TX0000000103,103,PAYMENT,411.80,C000001327,844.00,432.20,M00001939,121598.00,122009.80,0,0
TX0000000104,104,PAYMENT,181.50,C000001340,3791.00,3609.50,M00001958,189447.00,189628.50,0,0
TX0000000105,105,PAYMENT,2102.40,C000001353,6738.00,4635.60,M00001977,57296.00,59398.40,0,0
TX0000000106,106,PAYMENT,966.00,C000001366,9685.00,8719.00,M00001996,125145.00,126111.00,0,0
TX0000000107,107,PAYMENT,541.80,C000001379,12632.00,12090.20,M00002015,192994.00,193535.80,0,0
TX0000000108,108,PAYMENT,659.30,C000001392,15579.00,14919.70,M00002034,60843.00,61502.30,0,0
TX0000000109,109,TRANSFER,2840.00,C000001405,18526.00,15686.00,C000003150,37181.00,40021.00,0,0
TX0000000110,110,TRANSFER,2051.40,C000001418,21473.00,19421.60,C000003179,16832.00,18883.40,0,0
TX0000000111,111,TRANSFER,22.00,C000001431,24420.00,24398.00,C000003208,46483.00,46505.00,0,0
TX0000000112,112,CASH_OUT,1092.30,C000001444,27367.00,26274.70,C000003237,26134.00,26134.00,0,0
TX0000000113,113,CASH_OUT,496.80,C000001457,30314.00,29817.20,C000003266,5785.00,5785.00,0,0
TX0000000114,114,CASH_IN,3092.00,C000001470,33261.00,36353.00,C000003295,35436.00,38528.00,0,0
TX0000000115,115,DEBIT,1590.40,C000001483,36208.00,34617.60,M00002167,135786.00,137376.40,0,0
TX0000000116,116,PAYMENT,1480.50,C000001496,39155.00,37674.50,M00002186,3635.00,5115.50,0,0
TX0000000117,117,PAYMENT,1232.80,C000001509,42102.00,40869.20,M00002205,71484.00,72716.80,0,0
TX0000000118,118,PAYMENT,4087.80,C000001522,45049.00,40961.20,M00002224,139333.00,143420.80,0,0
TX0000000119,119,PAYMENT,2934.00,C000001535,47996.00,45062.00,M00002243,7182.00,10116.00,0,0
TX0000000120,120,PAYMENT,179.40,C000001548,943.00,763.60,M00002262,75031.00,75210.40,0,0
